timestamp,x,y,fix_quality,satellite_count,deviation_to_plan
2025-04-25T16:50:09.838819,96.00,5.00,,,4.000
2025-04-25T16:50:10.171583,95.00,5.00,,,5.000
2025-04-25T16:50:10.550984,94.00,5.00,,,4.000
2025-04-25T16:50:10.898228,93.00,5.00,,,3.000
2025-04-25T16:50:11.252162,92.00,5.00,,,2.000
2025-04-25T16:50:11.598569,91.00,5.00,,,1.000
2025-04-25T16:50:11.937466,90.20,5.00,,,0.200
2025-04-25T16:50:12.284786,90.00,5.00,,,0.000
2025-04-25T16:50:12.649355,89.00,5.00,,,1.000
2025-04-25T16:50:12.998287,88.00,5.00,,,2.000
2025-04-25T16:50:13.351594,87.00,5.00,,,3.000
2025-04-25T16:50:13.684418,86.00,5.00,,,4.000
2025-04-25T16:50:14.035079,85.00,5.00,,,5.000
2025-04-25T16:50:14.446634,84.00,5.00,,,4.000
2025-04-25T16:50:14.777714,83.00,5.00,,,3.000
2025-04-25T16:50:15.133638,82.00,5.00,,,2.000
2025-04-25T16:50:15.480408,81.00,5.00,,,1.000
2025-04-25T16:50:15.833877,80.20,5.00,,,0.200
2025-04-25T16:50:16.167198,80.00,5.00,,,0.000
2025-04-25T16:50:16.530869,79.00,5.00,,,1.000
2025-04-25T16:50:16.877178,78.00,5.00,,,2.000
2025-04-25T16:50:17.231328,77.00,5.00,,,3.000
2025-04-25T16:50:17.577640,76.00,5.00,,,4.000
2025-04-25T16:50:17.908155,75.00,5.00,,,5.000
2025-04-25T16:50:18.280589,74.00,5.00,,,4.000
2025-04-25T16:50:18.628732,73.00,5.00,,,3.000
2025-04-25T16:50:18.959470,72.00,5.00,,,2.000
2025-04-25T16:50:19.311932,71.00,5.00,,,1.000
2025-04-25T16:50:19.645974,70.20,5.00,,,0.200
2025-04-25T16:50:19.992062,70.00,5.00,,,0.000
2025-04-25T16:50:20.357435,69.00,5.00,,,1.000
2025-04-25T16:50:20.703809,68.00,5.00,,,2.000
2025-04-25T16:50:21.062034,67.00,5.00,,,3.000
2025-04-25T16:50:21.409900,66.00,5.00,,,4.000
2025-04-25T16:50:21.772478,65.00,5.00,,,5.000
2025-04-25T16:50:22.109649,64.00,5.00,,,4.000
2025-04-25T16:50:22.456516,63.00,5.00,,,3.000
2025-04-25T16:50:22.794945,62.00,5.00,,,2.000
2025-04-25T16:50:23.140737,61.00,5.00,,,1.000
2025-04-25T16:50:23.476467,60.20,5.00,,,0.200
2025-04-25T16:50:23.824075,60.00,5.00,,,0.000
2025-04-25T16:50:24.188931,59.00,5.00,,,1.000
2025-04-25T16:50:24.536637,58.00,5.00,,,2.000
2025-04-25T16:50:24.890096,57.00,5.00,,,3.000
2025-04-25T16:50:25.222102,56.00,5.00,,,4.000
2025-04-25T16:50:25.612376,55.00,5.00,,,5.000
2025-04-25T16:50:25.982934,54.00,5.00,,,4.000
2025-04-25T16:50:26.339062,53.00,5.00,,,3.000
2025-04-25T16:50:26.693838,52.00,5.00,,,2.000
2025-04-25T16:50:27.033822,51.00,5.00,,,1.000
2025-04-25T16:50:27.372976,50.20,5.00,,,0.200
2025-04-25T16:50:27.720024,50.00,5.00,,,0.000
2025-04-25T16:50:28.081551,49.00,5.00,,,1.000
2025-04-25T16:50:28.419523,48.00,5.00,,,2.000
2025-04-25T16:50:28.765546,47.00,5.00,,,3.000
2025-04-25T16:50:29.086130,46.00,5.00,,,4.000
2025-04-25T16:50:29.434645,45.00,5.00,,,5.000
2025-04-25T16:50:29.786732,44.00,5.00,,,4.000
2025-04-25T16:50:30.134737,43.00,5.00,,,3.000
2025-04-25T16:50:30.484540,42.00,5.00,,,2.000
2025-04-25T16:50:30.816384,41.00,5.00,,,1.000
2025-04-25T16:50:31.166659,40.20,5.00,,,0.200
2025-04-25T16:50:31.514720,40.00,5.00,,,0.000
2025-04-25T16:50:31.896509,39.00,5.00,,,1.000
2025-04-25T16:50:32.343692,38.00,5.00,,,2.000
2025-04-25T16:50:32.683246,37.00,5.00,,,3.000
2025-04-25T16:50:33.034274,36.00,5.00,,,4.000
2025-04-25T16:50:33.380633,35.00,5.00,,,5.000
2025-04-25T16:50:33.728332,34.00,5.00,,,4.000
2025-04-25T16:50:34.081687,33.00,5.00,,,3.000
2025-04-25T16:50:34.413629,32.00,5.00,,,2.000
2025-04-25T16:50:34.775965,31.00,5.00,,,1.000
2025-04-25T16:50:35.130565,30.20,5.00,,,0.200
2025-04-25T16:50:35.494098,30.00,5.00,,,0.000
2025-04-25T16:50:35.629991,29.00,5.00,,,1.000
2025-04-25T16:50:35.661302,28.00,5.00,,,2.000
2025-04-25T16:50:35.806361,27.00,5.00,,,3.000
2025-04-25T16:50:35.943207,26.00,5.00,,,4.000
2025-04-25T16:50:36.192823,25.00,5.00,,,5.000
2025-04-25T16:50:36.570103,24.00,5.00,,,4.000
2025-04-25T16:50:37.297712,23.00,5.00,,,3.000
2025-04-25T16:50:37.837870,22.00,5.00,,,2.000
2025-04-25T16:50:38.752470,21.00,5.00,,,1.000
2025-04-25T16:50:39.165184,20.20,5.00,,,0.200
2025-04-25T16:50:39.475257,20.00,5.00,,,0.000
2025-04-25T16:50:40.279195,19.00,5.00,,,1.000
2025-04-25T16:50:40.671652,18.00,5.00,,,2.000
2025-04-25T16:50:41.137765,17.00,5.00,,,3.000
